Name,Display Name,SubType,Class,Program Year,Item Status,On Hand,Product Group,Description,Base Price,Purchase Price,Last Purchase Price,Tax Schedule,SPS Item Synch,Brand,ITEM NAME,UPC,GTIN,Master Carton UPC,Cost,MSRP,MAP,HTS Code,Duty %,Min Order Quantity,Class - Custom,Product Origin,Item Length (IN),Item Height (IN),Item Depth (IN),Item Weight (Lbs),PKG Length (IN),PKG Height (IN),PKG Depth (IN),PKG WEIGHT LBS,Item Volume - Cubic Inches,ASSEMBLY TIME/# OF PEOPLE,PRODUCT WARRANTY,Master Pack Quantity,MASTER PACK DIMENSION,Master Pack Weight (in kgs),Master Pack Weight (in lbs),MASTER PACK WEIGHT,MASTER CARTON CUBIC FEET,CASES PER PALLET,UNITS PER PALLET,LAYERS PER PALLET,UNITS PER LAYER,QTY PER 40'HQ CONTAINER,FULL PALLET DIMS,FULL PALLET WEIGHT (LBS),COOKING SURFACE (SQ.IN),INDIV. PKGD,LONG PRODUCT DESCRIPTION,COMPLETE FEATURES,POWER SOURCE,Item Length (CM),Item Height (CM),Item Depth (CM),Item Weight (KG),PKG Length (CM),PKG WEIGHT KG,Item Volume - Cubic Meters,GAUGE OF STEEL,MAX. WEIGHT CAPACITY,ASSEMBLY REQUIRED?,BATTERIES REQUIRED?,BATTERIES INCLUDED?,TYPE OF BATTERIES,TYPE OF BATTERIES II,# OF BATTERIES,# OF BATTERIES II,QTY PER 53' TRUCK,COLOR,CSA APPROVED,ROMANCE COPY,PRODUCT DESCRIPTION,MODEL #,Master Pack Weight (in kgs) (2),Master Pack Weight(in lbs),Vendor,Factory,Available,Purchase Description,Description,Code of Supply
1131,Blackstone 36in Griddle Carry Bag,,2 - Non-Griddle : 2.1 - Bags & Covers,2019,Active,73,Covers/Bags - GRD,Blackstone 36in Griddle Carry Bag,39.99,5.3,5.1,Taxable,No,Blackstone,,7.17604E+11,7.17604E+11,10717604113179 (10),,39.99,,4202.92.9100,17.60%,10,100,,39,24,2,1,7.5,13,1.75,3,0.0987413,N/A,90 Days,10,26.75L x 10.75W x 8.5H (inches); 67.95L x 27.31W x 21.60H (cm),9.5,21,21 lb; 9.5 kg,,48,480,8,60,14950,"51""Lx40""Wx73""H",1096,N/A,Y,Blackstone 36in Griddle Carry Bag,"THE BLACKSTONE 36"" WEATHER RESISTANT CARRY BAG IS CUSTOMED DESIGNED TO FIT THE BLACKSTONE 36"" GRIDDLE. MADE WITH HEAVY DUTY 600 D POLYESTER AND HIGH IMPACT POLY RESIN FOR EXTREMELY DURABLE HANDLES. WATERPROOF WITH UV TREATMENT TO PREVENT SUN DAMAGE.",N/A,99.06,60.96,5.08,0.45,19.05,0.91,,n/a,,N,No,No,N/A,N/A,N/A,N/A,Pallet Qty x 24,Black,N/A,"Custom designed Carry Bag to fit the 36” Griddle Top with built in accessory pocket. The carry bag makes for easy transport of your griddle top, keeping it clean and free from damage while storing or in transit to your party or campsite. This universal carry bag will also nicely fit the Tailgater Combo cooking station protecting it while stored or carrying.  This bag also fits the accessory grill box.","The Blackstone 36"" weather-resistant Carry Bag is custom designed to fit the Blackstone 36"" Griddle; made of Heavy Duty 600 D Polyester; has durable, high-impact poly resin handles; waterproof; UV treated to help prevent sun damage",1131,,,"Foshan Daide Bags Co., LTD",,73,Blackstone 36in Griddle Carry Bag,Blackstone 36in Griddle Carry Bag,
1182,Blackstone 28in Griddle Carry Bag,,2 - Non-Griddle : 2.1 - Bags & Covers,2019,Active,136,Covers/Bags - GRD,Blackstone 28in Griddle Carry Bag,39.99,4.47,3.479,Taxable,No,Blackstone,,7.17604E+11,7.17604E+11,10717604118297 (10),,39.99,,4202.92.9100,17.60%,10,100,,34,21,2,1,8,11.5,1.75,3,0.0931713,,90 Days,10,6.50L x 9.75W x 12.25H (inches); 16.51L x 24.77W x 31.12H (cm),8,17,17.00 lb; 7.7 kg,,50,500,5,10,19420,"48""Lx40""Wx66""H",1096,N/A,Y,Blackstone 28in Griddle Carry Bag,"THE BLACKSTONE 28"" WEATHER RESISTANT CARRY BAG IS CUSTOMED DESIGNED TO FIT THE BLACKSTONE 28"" GRIDDLE. MADE WITH HEAVY DUTY 600 D POLYESTER AND HIGH IMPACT POLY RESIN FOR EXTREMELY DURABLE HANDLES. WATERPROOF WITH UV TREATMENT TO PREVENT SUN DAMAGE",N/A,86.36,53.34,5.08,0.45,20.32,0.68,,n/a,,N,No,No,N/A,N/A,N/A,N/A,Pallet Qty x 24,Black,N/A,"The 28” Griddle Top Carry Bag is custom designed to store or transport the griddle top cooking surface. The heavy duty polyester carry bag keeps elements from sticking or damaging your griddle top. Reinforced corners and High Impact poly resin handles has made this carry bag built to last through the most extreme conditions.  This bag also fits the 28"" accessory grill box.","The Blackstone 28"" weather-resistant Carry Bag is custom designed to fit the Blackstone 28"" Griddle; made of Heavy Duty 600 D Polyester; has durable, high-impact poly resin handles; waterproof; UV treated to help prevent sun damage",1182,,,"Foshan Daide Bags Co., LTD",,136,Blackstone 28in Griddle Carry Bag,Blackstone 28in Griddle Carry Bag,
1504,Blackstone Single Burner Griddle,,SLOBS : 1 - Griddles,2019,Discontinued,,Griddles,Blackstone Single Burner Griddle,99.99,33,31.76,Taxable,No,Blackstone,,7.17604E+11,7.17604E+11,7.17604E+11,,99.99,,7321.11.1060,5.70%,1,85,,32.8,32,23.9,24.7,18.9,9.85,20.27,30,1.7708333,15 mins/1,1 YEAR,1,18.00L x 10.00W x 17.00H (inches); 45.72L x 25.40W x 43.18H (cm),12.93,28.5,28.50 lb; 12.93 kg,,40,40,10,,1115,"47""Lx40""Wx81""H",1180,,Y,Blackstone Single Burner Griddle,,Propane,83.31,81.28,60.7,11.2,48.01,13.61,50144.41,,100,Y,Yes,No,AA,N/A,1,N/A,"1,040",Black,N/A,,,1504,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Blackstone Single Burner Griddle,Blackstone Single Burner Griddle,
1505,AirFryer Bundle-2,,,,,,,AirFryer Bundle-2,999.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AirFryer Bundle-2,
1506,"2X 36"" Griddle Bundle",,,,,,,"2X 36"" Griddle Bundle",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2X 36"" Griddle Bundle",
1507,Blackstone Tailgater Grill Box,,2 - Non-Griddle : 2.3 - Griddle Accessories,2019,Obsolete,,Accessory - GRD,Blackstone Tailgater Grill Box,69.99,27,27.02,Taxable,No,,,7.17604E+11,,,,69.99,,7321.11.6000,5.70%,,,,"20""","9""","19.75""",26,"20"" L/Deep","9.25"" H","19.75"" W",25,,,,1,"9.25""H x 19.75"" W x 20"" L/Deep",10,25,26 lbs,,32,32,8,4,,,,,,,,,,,,,,,,,,,,,,,,,768,,,,,,,,Shining Era Enterprise Limited,,,Blackstone Tailgater Grill Box,Blackstone Tailgater Grill Box,
1509,"17"" Gift Bundle",,,,,,,"17"" Gift Bundle",189.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17"" Gift Bundle",
1510,"22"" Gift Bundle",,,,,,,"22"" Gift Bundle",205.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22"" Gift Bundle",
1511,"28"" Gift Bundle",,,,,,,"28"" Gift Bundle",299.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Gift Bundle",
1512,"36"" Gift Bundle",,,,,,,"36"" Gift Bundle",399.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Gift Bundle",
