Date,Name,Purchase Order,Item,Quantity,Quantity Fulfilled/Received,Destination,Vendor Ship Date,Expected Receipt Date,Amount,Confirmed,Blanket PO
6/12/2020,Shining Era Enterprise Limited,PO5797,RP 90730,35,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
6/12/2020,Shining Era Enterprise Limited,PO5797,RP 90830,30,0,BPUT1,10/30/2021,12/29/2021,0,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,239,239,BPUT1,8/20/2021,10/14/2021,31309,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,7000,0,BPUT1,11/20/2021,1/19/2022,917000,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,239,239,BPUT1,9/30/2021,11/29/2021,31309,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,717,717,BPUT1,10/15/2021,12/14/2021,93927,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,1522,0,BPUT1,10/30/2021,12/29/2021,199382,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6333,1550,283,0,BPUT1,10/30/2021,12/29/2021,37073,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,380,380,BPUT1,8/19/2021,10/13/2021,36860,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,2000,0,BPUT1,10/30/2021,12/29/2021,194000,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,2000,0,BPUT1,10/30/2021,12/29/2021,194000,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,2000,0,BPUT1,10/30/2021,12/29/2021,194000,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,1140,1140,BPUT1,10/15/2021,12/14/2021,110580,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,380,380,BPUT1,9/12/2021,11/11/2021,36860,Yes,No
7/22/2020,Shining Era Enterprise Limited,PO6336,1935,2100,0,BPUT1,10/30/2021,12/29/2021,203700,Yes,No
8/27/2020,Shining Era Enterprise Limited,PO6689,1890,644,0,BPUT1,10/30/2021,12/29/2021,26384.68,Yes,No
8/28/2020,"Guangdong Canbo Electrical Co., LTD",PO6692,1902,127,127,BPUT1,9/28/2021,11/27/2021,29938.98,No,Yes
8/28/2020,"Guangdong Canbo Electrical Co., LTD",PO6692,1902,127,127,Import,9/29/2021,12/2/2021,29938.98,No,Yes
8/28/2020,"Guangdong Canbo Electrical Co., LTD",PO6692,1902,1143,1143,Import,10/30/2021,12/29/2021,269450.82,No,Yes
8/28/2020,"Guangdong Canbo Electrical Co., LTD",PO6692,1902,1270,0,Import,10/30/2021,12/29/2021,299389.8,No,Yes
8/28/2020,Shining Era Enterprise Limited,PO6694,1944,1000,0,BPUT1,10/30/2021,12/29/2021,90670,Yes,No
9/28/2020,Shining Era Enterprise Limited,PO7188,1968,500,0,BPUT1,10/30/2021,12/29/2021,30500,Yes,No
9/30/2020,"Foshan Daide Bags Co., LTD",PO7212,5441,500,500,BPUT1,4/25/2021,6/9/2021,6800,Yes,No
9/30/2020,"Foshan Daide Bags Co., LTD",PO7212,5441,2500,0,BPUT1,11/15/2021,1/14/2022,34000,Yes,No
9/30/2020,Shining Era Enterprise Limited,PO7219,5079,500,0,BPUT1,11/4/2021,1/3/2022,6250,Yes,No
10/13/2020,"Guangdong Canbo Electrical Co., LTD",PO8248,1962,304,0,Import,11/15/2021,1/14/2022,56890.56,No,Yes
10/30/2020,"Guangdong Canbo Electrical Co., LTD",PO8714,1962,604,0,Import,11/15/2021,1/14/2022,113032.56,No,Yes
10/30/2020,Shining Era Enterprise Limited,PO8723,1860,332,332,BPUT1,10/18/2021,12/17/2021,27778.44,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8723,1860,168,0,BPUT1,10/26/2021,12/25/2021,14056.56,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8724,2103,200,0,BPUT1,11/1/2021,12/31/2021,30460,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8725,2102,1000,0,BPUT1,11/1/2021,12/31/2021,174330,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8726,1890,300,0,BPUT1,10/30/2021,12/29/2021,12291,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8727,1900,732,732,BPUT1,10/30/2021,12/29/2021,35428.8,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8727,1900,268,0,BPUT1,10/30/2021,12/29/2021,12971.2,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8728,1921,500,0,BPUT1,11/1/2021,12/31/2021,34000,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8729,1922,500,0,BPUT1,11/1/2021,12/31/2021,95000,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8732,5011,1519,1519,BPUT1,10/30/2021,12/29/2021,25109.07,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8732,5011,981,0,BPUT1,10/26/2021,12/25/2021,16215.93,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8733,5013,2000,0,BPUT1,11/4/2021,1/3/2022,57540,Yes,No
10/30/2020,Shining Era Enterprise Limited,PO8734,5015,1500,0,BPUT1,11/4/2021,1/3/2022,14160,Yes,No
11/13/2020,Shining Era Enterprise Limited,PO9177,5012,500,0,BPUT1,10/30/2021,12/29/2021,4480,Yes,No
11/13/2020,Shining Era Enterprise Limited,PO9178,5077,200,0,BPUT1,11/4/2021,1/3/2022,7716,Yes,No
11/13/2020,Shining Era Enterprise Limited,PO9178,5077,100,100,BPUT1,2/25/2021,4/2/2021,3858,Yes,No
11/19/2020,"Foshan Daide Bags Co., LTD",PO9258,5441,2000,0,BPUT1,11/15/2021,1/14/2022,27200,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9274,5010,500,0,BPUT1,10/30/2021,12/29/2021,7120,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9279,5004,6536,6536,BPUT1,10/18/2021,12/17/2021,111046.64,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9279,5004,964,0,BPUT1,11/4/2021,1/3/2022,16378.36,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9280,5004,7500,0,BPUT1,11/1/2021,12/31/2021,127425,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9281,1814,2496,2496,BPUT1,2/7/2021,3/14/2021,92352,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9281,1814,251,251,BPUT1,10/30/2021,12/29/2021,10793,Yes,No
11/19/2020,Shining Era Enterprise Limited,PO9281,1814,253,0,BPUT1,10/30/2021,12/29/2021,10879,Yes,No
11/30/2020,"Guangdong Canbo Electrical Co., LTD",PO9410,1783,950,0,Import,11/15/2021,1/14/2022,100092,No,Yes
12/1/2020,"Guangdong Canbo Electrical Co., LTD",PO9416,1923,101,101,BPUT1,9/28/2021,11/27/2021,28447.66,Yes,No
12/1/2020,"Guangdong Canbo Electrical Co., LTD",PO9416,1923,6,6,BPUT1,9/28/2021,11/27/2021,1689.96,Yes,No
12/1/2020,"Guangdong Canbo Electrical Co., LTD",PO9416,1923,5,0,BPUT1,11/15/2021,1/14/2022,1408.3,Yes,No
12/2/2020,Shining Era Enterprise Limited,PO9617,1517,926,926,BPUT1,6/13/2021,7/28/2021,71857.6,Yes,No
12/2/2020,Shining Era Enterprise Limited,PO9617,1517,926,0,BPUT1,10/30/2021,12/29/2021,75256.02,Yes,No
12/2/2020,Shining Era Enterprise Limited,PO9617,1517,463,463,BPUT1,6/13/2021,8/7/2021,35928.8,Yes,No
12/2/2020,Shining Era Enterprise Limited,PO9618,1517,959,959,BPUT1,5/30/2021,7/24/2021,76048.7,Yes,No
12/2/2020,Shining Era Enterprise Limited,PO9618,1517,232,232,BPUT1,5/30/2021,7/24/2021,18854.64,Yes,No
