Day of Date Created,Name,Purchase Order,Ship Date,Item,Quantity,Destination,Requested Ship Date,Booked,Customer PO,Name,Expected Receipt Date,Status,unit_cost,Blanket PO
1/17/2019,Shining Era Enterprise Limited,PO1867,2/23/2019,1543,134,,,,1900762497,ASDA Stores LTD (Walmart Europe),1/17/2019,Pending Receipt,5.83,
10/8/2019,Shining Era Enterprise Limited,PO3332,11/11/2019,1814,79,,,,1927502-99,,10/22/2019,Partially Received,33.1,
10/11/2019,Shining Era Enterprise Limited,PO3373,11/24/2019,5004,95,,,,2TRXPLLR,AMAZON.COM : AMAZON.COM - IMPORTS,11/24/2019,Partially Received,18.25,
11/26/2019,Shining Era Enterprise Limited,PO4229,1/7/2020,5010,10,,,,759T3YWR,AMAZON.COM : AMAZON.COM - IMPORTS,12/10/2019,Partially Received,14.68,
6/9/2020,Shining Era Enterprise Limited,PO5770,7/10/2020,1841,3,,,,108586217,BJs Wholesale Club : BJs Wholesale Club IMPORT,6/23/2020,Partially Received,141.3,
6/30/2020,Shining Era Enterprise Limited,PO6036,8/15/2020,1666,2,,,,7IPIY2YC,AMAZON.COM : AMAZON.COM - IMPORTS,8/8/2020,Partially Received,42.11,
6/30/2020,Shining Era Enterprise Limited,PO6036,8/15/2020,1650,7,,,,7IPIY2YC,AMAZON.COM : AMAZON.COM - IMPORTS,8/8/2020,Partially Received,32.11,
7/23/2020,Shining Era Enterprise Limited,PO6353,7/23/2020,1650,5405,,,,6HRT6OMO,AMAZON.COM : AMAZON.COM - IMPORTS,9/17/2020,Pending Receipt,32.11,
7/23/2020,Shining Era Enterprise Limited,PO6353,7/23/2020,1666,560,,,,6HRT6OMO,AMAZON.COM : AMAZON.COM - IMPORTS,8/6/2020,Pending Receipt,42.11,
7/23/2020,Shining Era Enterprise Limited,PO6353,7/23/2020,5011,382,,,,6HRT6OMO,AMAZON.COM : AMAZON.COM - IMPORTS,8/6/2020,Pending Receipt,17.04,
7/23/2020,"Foshan Daide Bags Co., LTD",PO6354,7/23/2020,1720,1590,,,,6HRT6OMO,AMAZON.COM : AMAZON.COM - IMPORTS,8/6/2020,Pending Receipt,6.84,
8/4/2020,Shining Era Enterprise Limited,PO6450,10/8/2020,1517,130,,,,WHSZ17885Z7897596,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,80,
8/4/2020,Shining Era Enterprise Limited,PO6450,10/8/2020,1554,233,,,,WHSZ17885Z7897596,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,122.84,
8/4/2020,Shining Era Enterprise Limited,PO6450,10/8/2020,1666,40,,,,WHSZ17885Z7897596,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,42.11,
8/4/2020,Shining Era Enterprise Limited,PO6451,10/8/2020,1517,132,,,,WHSZ17885Z7897595,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,80,
8/4/2020,Shining Era Enterprise Limited,PO6451,10/8/2020,1554,238,,,,WHSZ17885Z7897595,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,122.84,
8/4/2020,Shining Era Enterprise Limited,PO6451,10/8/2020,1666,42,,,,WHSZ17885Z7897595,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,42.11,
8/4/2020,Shining Era Enterprise Limited,PO6452,10/8/2020,1517,132,,,,WHSZ17885Z7897597,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,80,
8/4/2020,Shining Era Enterprise Limited,PO6452,10/8/2020,1554,238,,,,WHSZ17885Z7897597,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,122.84,
8/4/2020,Shining Era Enterprise Limited,PO6452,10/8/2020,1666,42,,,,WHSZ17885Z7897597,WAYFAIR.com : Wayfair IMPORT,8/18/2020,Pending Receipt,42.11,
9/30/2020,Shining Era Enterprise Limited,PO7499,3/23/2021,1845,118,,,,3669304348,,10/14/2020,Partially Received,196.65,No
9/30/2020,Shining Era Enterprise Limited,PO7608,4/30/2021,1891,114,,,,3669304457,WALMART IMPORT,10/14/2020,Partially Received,70.8,No
9/30/2020,Shining Era Enterprise Limited,PO7775,3/19/2021,1961,280,,,,3669306379,WALMART IMPORT,10/14/2020,Pending Receipt,76.8,No
9/30/2020,Shining Era Enterprise Limited,PO7781,3/30/2021,1961,351,,,,3669306385,WALMART IMPORT,10/14/2020,Pending Receipt,76.8,No
9/30/2020,Shining Era Enterprise Limited,PO7796,3/16/2021,1961,550,,,,3669306400,WALMART IMPORT,10/14/2020,Pending Receipt,76.8,No
9/30/2020,Shining Era Enterprise Limited,PO7797,4/13/2021,1961,270,,,,3669306401,WALMART IMPORT,10/14/2020,Pending Receipt,76.8,No
9/30/2020,Shining Era Enterprise Limited,PO7810,3/2/2021,1938,808,,,,3669306414,WALMART IMPORT,10/14/2020,Pending Receipt,85.55,No
10/28/2020,Shining Era Enterprise Limited,PO8706,8/5/2021,1860,288,,,,3285280,CWI OPERATING UNIT : CWI Operating Unit IMPORT,11/11/2020,Pending Receipt,77.5,No
10/28/2020,Shining Era Enterprise Limited,PO8708,8/5/2021,1860,288,,,,3285278,CWI OPERATING UNIT : CWI Operating Unit IMPORT,11/11/2020,Pending Receipt,77.5,No
10/28/2020,Shining Era Enterprise Limited,PO8709,8/7/2021,1860,288,,,,3285276,CWI OPERATING UNIT : CWI Operating Unit IMPORT,11/11/2020,Pending Receipt,77.5,No
11/3/2020,Shining Era Enterprise Limited,PO8815,1/1/2021,1813,141,,,,2UMJMTNL,AMAZON.COM : AMAZON.COM - IMPORTS,11/17/2020,Partially Received,48.05,No
11/3/2020,Shining Era Enterprise Limited,PO8842,1/1/2021,1813,141,,,,8SMAN5JK,AMAZON.COM : AMAZON.COM - IMPORTS,11/17/2020,Partially Received,48.05,No
11/4/2020,Shining Era Enterprise Limited,PO8858,1/1/2021,1939,282,,,,29NMQ2BW,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,54.4,No
11/4/2020,Shining Era Enterprise Limited,PO8858,1/1/2021,1984,84,,,,29NMQ2BW,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8863,1/1/2021,1813,303,,,,5Y3ORW7L,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,48.05,No
11/4/2020,Shining Era Enterprise Limited,PO8863,1/1/2021,1984,159,,,,5Y3ORW7L,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8867,1/1/2021,1813,332,,,,77MIXB3A,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,48.05,No
11/4/2020,Shining Era Enterprise Limited,PO8867,1/1/2021,1984,146,,,,77MIXB3A,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8868,1/1/2021,1939,202,,,,7A9AA35V,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,54.4,No
11/4/2020,Shining Era Enterprise Limited,PO8868,1/1/2021,1984,145,,,,7A9AA35V,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8871,1/1/2021,1939,233,,,,7MQDVYET,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,54.4,No
11/4/2020,Shining Era Enterprise Limited,PO8871,1/1/2021,1984,122,,,,7MQDVYET,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8874,1/1/2021,1813,122,,,,88Q5LSUE,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,48.05,No
