Purchase Order,Vendor,Item Receipt #,Item,Quantity,Container # (IR),To Location,Destination (PO),Carrier (IR),Trans-Loaded (IR),Departure (IR),Port ETA (IR),Due at Warehouse,Amount,Item Receipt Rate
PO12636,"Bryson Industries, Inc",IR12022,4123,1686,14403,Transit,BPUT1,,No,9/14/2021,9/18/2021,,3591.18,2.13
PO13508,Guangdong Vanward Electric Appliance Co,IR11714,8001,688,HLXU8199518,Transit,BPUT1,DSV,No,8/18/2021,10/13/2021,,62663.04,91.08
PO10611,VL (HK) LIMITED,IR11716,5065,1122,HLBU1898244,Transit,BPUT1,DSV,No,8/18/2021,10/13/2021,,8919.9,7.95
PO12059,VL (HK) LIMITED,IR11717,5228,2264,HLBU1898244,Transit,BPUT1,DSV,No,8/18/2021,10/13/2021,,4641.2,2.05
PO10228,VL (HK) LIMITED,IR11718,5229,628,HLBU1898244,Transit,,DSV,No,8/18/2021,10/13/2021,,3454,5.5
PO11990,VL (HK) LIMITED,IR11719,5318,4000,HLBU1898244,Transit,,DSV,No,8/18/2021,10/13/2021,,26200,6.55
PO12613,VL (HK) LIMITED,IR11720,5114,10016,HLBU1898244,Transit,BPUT1,DSV,No,8/18/2021,10/13/2021,,39362.88,3.93
PO8792,VL (HK) LIMITED,IR11746,5404,234,HLBU1898244,Transit,,DSV,No,8/18/2021,10/13/2021,,1902.42,8.13
PO11307,"Foshan Daide Bags Co., LTD",IR11691,1528,8250,FANU1527327,Transit,BPUT1,DSV,No,8/18/2021,10/15/2021,,67815,8.22
PO6695,"Guangdong Canbo Electrical Co., LTD",IR11676,1963,111,TCKU6047217,Transit,BPUT1,DSV,No,8/18/2021,10/16/2021,,27263.82,245.62
PO15739,DVC Industries Inc - The Spice Lab,IR12584,4160,120,SL209883366,Transit,BPUT1,,No,10/19/2021,10/20/2021,,216,1.8
PO15739,DVC Industries Inc - The Spice Lab,IR12584,4161,120,SL209883366,Transit,BPUT1,,No,10/19/2021,10/20/2021,,216,1.8
PO15739,DVC Industries Inc - The Spice Lab,IR12584,4162,120,SL209883366,Transit,BPUT1,,No,10/19/2021,10/20/2021,,204,1.7
PO15739,DVC Industries Inc - The Spice Lab,IR12584,4226,120,SL209883366,Transit,BPUT1,,No,10/19/2021,10/20/2021,,216,1.8
PO15739,DVC Industries Inc - The Spice Lab,IR12584,4227,120,SL209883366,Transit,BPUT1,,No,10/19/2021,10/20/2021,,228,1.9
