"North Atlantic Imports, LLC",,,,,,,,,,,,,,,,,,,,,
NAI,,,,,,,,,,,,,,,,,,,,,
Custom Stock Ledger MTD Xudong,,,,,,,,,,,,,,,,,,,,,
"October 1, 2021 - October 25, 2021",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item ,Location ,Description ,Class ,Department ,Subsidiary ,Beginning Inv Qty On-hand ,Beginning Average Cost ,Beginning Inv On-hand Value ,Receipts ,Other Inv Inputs ,Total Input Quantity ,Value of Inputs ,Last Receipt Date ,Sales ,Other Inv Outputs ,Total Output Quantity ,Value of Outputs ,LAST SALES DATE ,Ending Inv Qty On-hand ,Ending Average Cost ,Ending Inv On-hand Value 
1131,BPUT2,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,15,15,$76.50 ,,0,0,0,$0.00 ,,15,$5.10 ,$76.50 
1131,Retail Store,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,5,$5.10 ,$25.50 ,0,0,0,$0.00 ,,1,0,1,$5.10 ,10/1/2021,4,$5.10 ,$20.40 
1131,Damaged Location BP,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,69,$5.10 ,$351.90 ,0,0,0,$0.00 ,,0,15,15,$76.50 ,,54,$5.10 ,$275.40 
1182,Damaged Location BP,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,136,$3.48 ,$473.15 ,0,0,0,$0.00 ,,0,15,15,$52.19 ,,121,$3.48 ,$420.96 
1182,BPUT2,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,15,15,$52.19 ,,0,0,0,$0.00 ,,15,$3.48 ,$52.19 
1517,Damaged Location BP,Legacy 28in Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,5,5,$397.68 ,,0,0,0,$0.00 ,,5,$79.54 ,$397.68 
1517,Retail Store,Legacy 28in Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,15,$79.00 ,"$1,184.97 ",0,0,0,$0.00 ,,1,0,1,$79.00 ,10/18/2021,14,$79.00 ,"$1,105.97 "
1517,BPUT1,Legacy 28in Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,964,$79.53 ,"$76,671.73 ",0,0,0,$0.00 ,,194,5,199,"$15,827.46 ",10/21/2021,765,$79.53 ,"$60,844.27 "
1528,Returns Received,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,29,29,$238.38 ,,0,29,29,$238.38 ,,0,$0.00 ,$0.00 
1528,Transit,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,"140,538",$8.22 ,"$1,154,631.01 ",0,0,0,$0.00 ,,0,"64,476","64,476","$529,721.43 ",,"76,062",$8.22 ,"$624,909.58 "
1528,Damaged Location BP,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,133,$8.22 ,"$1,093.54 ",0,739,739,"$6,071.79 ",,0,46,46,$378.15 ,,826,$8.22 ,"$6,787.18 "
1528,BPUT2,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,"33,795","33,795","$277,655.35 ",,0,24,24,$197.18 ,,"33,771",$8.22 ,"$277,458.17 "
1528,BPUT1,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,"1,776",$8.22 ,"$14,598.77 ",0,"48,003","48,003","$394,382.80 ",,"6,293","17,966","24,259","$199,313.35 ",10/25/2021,"25,520",$8.22 ,"$209,668.22 "
1528,Retail Store,Blackstone 36in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,4,$8.22 ,$32.89 ,0,7,7,$57.54 ,,9,0,9,$73.99 ,10/22/2021,2,$8.22 ,$16.44 
1529,Retail Store,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,4,$6.93 ,$27.72 ,0,4,4,$27.72 ,,5,0,5,$34.65 ,10/18/2021,3,$6.93 ,$20.79 
1529,Returns Received,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$6.93 ,,0,1,1,$6.93 ,,0,$0.00 ,$0.00 
1529,Import,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,"2,160",$6.93 ,"$14,968.80 ",,,,,,,,,,,"2,160",$6.93 ,"$14,968.80 "
