"North Atlantic Imports, LLC",,,,,,,,,,,,,,,,,,,,,
NAI,,,,,,,,,,,,,,,,,,,,,
Custom Stock Ledger YTD Xudong,,,,,,,,,,,,,,,,,,,,,
"January 1, 2021 - October 25, 2021",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item ,Location ,Description ,Class ,Department ,Subsidiary ,Beginning Inv Qty On-hand ,Beginning Average Cost ,Beginning Inv On-hand Value ,Receipts ,Other Inv Inputs ,Total Input Quantity ,Value of Inputs ,Last Receipt Date ,Sales ,Other Inv Outputs ,Total Output Quantity ,Value of Outputs ,LAST SALES DATE ,Ending Inv Qty On-hand ,Ending Average Cost ,Ending Inv On-hand Value 
1131,Damaged Location BP,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,40,$5.10 ,$204.00 ,0,36,36,$183.60 ,,0,22,22,$112.20 ,,54,$5.10 ,$275.40 
1131,Retail Store,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,11,$5.10 ,$56.10 ,0,3,3,$15.30 ,,10,0,10,$51.00 ,10/1/2021,4,$5.10 ,$20.40 
1131,Returns Received,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,36,36,$183.60 ,,0,36,36,$183.60 ,,0,$0.00 ,$0.00 
1131,BPUT2,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,15,15,$76.50 ,,0,0,0,$0.00 ,,15,$5.10 ,$76.50 
1131,Ogden,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,"5,693",$5.10 ,"$29,034.30 ",0,0,0,$0.00 ,,"5,693",0,"5,693","$29,034.30 ",1/15/2021,0,$0.00 ,$0.00 
1131,BPUT1,Blackstone 36in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,"2,324",$5.10 ,"$11,852.40 ",0,4,4,$20.40 ,,"2,302",26,"2,328","$11,872.80 ",7/15/2021,0,$0.00 ,$0.00 
1182,WH Transfer,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,51,51,$173.40 ,,0,51,51,$173.40 ,,0,$0.00 ,$0.00 
1182,Ogden,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,67,$3.40 ,$227.80 ,0,1,1,$3.40 ,,17,51,68,$231.20 ,1/26/2021,0,$0.00 ,$0.00 
1182,BPUT1,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,81,$3.49 ,$282.76 ,0,57,57,$194.29 ,,138,0,138,$477.05 ,9/23/2021,0,$0.00 ,$0.00 
1182,Retail Store,Blackstone 28in Griddle Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,6,$3.45 ,$20.67 ,0,0,0,$0.00 ,,6,0,6,$20.67 ,8/6/2021,0,$0.00 ,$0.00 
